AcresBurned,Counties,Name,UniqueId
1049,Riverside,Highway Fire,8e3c0b14-01e5-4c41-8641-ff987ac10ad9
1044,Riverside,Blaine Fire,c57ff6c2-e5df-48c5-831c-1dbad73df5ef
1042,Butte,Lumpkin Fire,f7067bff-efb4-4ca6-a627-6145836857ec
1035,Madera,Mission Fire,297d6516-ce4f-407d-93f8-9669dc6fd392
1020,Plumas,Chilcoot Fire,d3213d2a-4b10-4eef-b8df-bdebc5cd948f
1020,Lassen,W1 McDonald Fire,94cdd032-ea04-4713-b54a-dc3476635684
1014,Santa Barbara,Front Fire,8dd81979-48ba-48db-bb24-e4f1bf85d262
1011,Riverside,Sandalwood Fire,7ff84b11-c3fb-4f5c-8a00-07243d4a4e33
1000,San Diego,Range Fire,bd671dbd-dd3c-413e-b453-4002e382325d
995,Shasta,Berry Fire,4a015862-8ac1-4c91-aa4c-c9831630b75a
993,Kern,Breckenridge Fire,53a9be88-6d10-483e-8dc7-59cb84326ab8
976,Fresno,El Dorado Fire,17a7d561-bee7-454d-a0aa-ac450907f6fd
974,San Luis Obispo,Gillis Fire,1fd11e53-a132-4b89-bc8f-f7061f685ad3
972,Mendocino,Eel Fire,fa745e18-be7a-42e0-b3c7-30333ddcf3aa
968,Orange,Silverado Fire,568ea489-caa1-43c3-928a-9d0b836c0c54
962,Butte,Stoney Fire,3c17be70-66f8-4df2-97be-873fe924d99c
920,Madera,Corrine Fire,fa8ba2dd-c9f7-454a-870b-1b39c0d8b31a
917,Monterey,Pfeiffer Fire,0681ea77-2e43-43c4-9ae9-34fb168c0c03
900,Mendocino,Grade Fire,95cd2f17-1278-4cc9-90f4-000e4eba415a
867,Yuba,Beale Fire,f31a117a-572a-4956-9797-ad08e3933bb7
866,Riverside,Wildomar Fire,561d4f1b-0827-48a9-8034-e783d2761945
865,Tehama,Campbell Fire,353e7df7-440c-4c41-a27c-b35bb1e2831c
860,Butte,Meridian Fire,88e1ae5b-593f-4d0d-958d-bd56a877a535
859,Lassen,Poslin Fire,06664fe1-c56c-4a00-833c-f9f3f6d6d18f
856,Tehama,Dale Fire,3b576efa-90b7-4b87-983d-b38630e10576
850,Butte,Saddle Fire,c94fda40-ab7a-42d1-bfc9-ca5f39fb6e7d
835,San Luis Obispo,Belmont Fire,e2d77e59-b831-4267-a50b-89ede499a885
825,Amador,Irish Fire,be804253-e994-4f40-9e07-5c215533231c
822,Yolo,Eighty Eight Fire,e51ff5f0-09d5-42f3-8bed-c1c6eb85d245
821,Nevada,Lobo Fire (Wind Complex),29c37ab7-3af9-458f-b6d3-72023a8c1046
800,Los Angeles,Lake Fire,c982daaa-a785-4dfc-a366-1950974028af
794,Kern,Shirley Fire,5421868e-52ba-4737-8169-325e0aa040e4
775,San Luis Obispo,Yankee Fire,e6308517-0b7c-4efb-9369-b9aa3fe3ad14
760,Los Angeles,Placerita Fire,c940ef85-44ce-4684-bce3-7cbbf180cefb
757,Contra Costa,Marsh Complex,1f576988-2ad0-4a7b-afed-f650caafc579
756,Tulare,Creek Fire,8faaa845-634f-4f94-b25e-f5ae78703da6
